Libellé de la commune,Code de la commune,Nom de l'élu,Prénom de l'élu,Date de début du mandat
Saint-Trivier-Sur-Moignans,01389,LANIER,Marcel,28/06/2020
Saint-Vulbas,01390,JACQUIN,Marcel,18/05/2020
Salavre,01391,FÉAUD,Jacques,18/05/2020
Samognat,01392,ESCODA,Annie,18/05/2020
Sandrans,01393,TAPONAT,Bernard,28/06/2020
Sault-Brénaz,01396,ALONSO,Nazarello,18/05/2020
Sauverny,01397,HENNIQUAU,Isabelle,18/05/2020
Savigneux,01398,GARNIER,Gilles,18/05/2020
Ségny,01399,FOUILLOUX,Jean-Pierre,18/05/2020
Seillonnaz,01400,OGERET,Agnès,18/05/2020
Sergy,01401,MOINE,Catherine,18/05/2020
Sermoyer,01402,PANCHOT,Huguette,18/05/2020
Serrières-De-Briord,01403,BEGUET,Daniel,18/05/2020
Serrières-Sur-Ain,01404,BOULMÉ,Jean-Michel,18/05/2020
Servas,01405,GUERIN,Serge,18/05/2020
Servignat,01406,VIALLON,Laurent,18/05/2020
Simandre-Sur-Suran,01408,BAVOUX,Marc,18/05/2020
Sonthonnax-La-Montagne,01410,MONACI,Fabrice,18/05/2020
Souclin,01411,CASELLA,Maud,18/05/2020
Sulignat,01412,GENESTOUX,Alain,18/05/2020
Talissieu,01415,DEGUISNE,Sabrina,18/05/2020
Tenay,01416,ALLAIN,Gaël,18/05/2020
Thil,01418,POMMAZ,Valérie,18/05/2020
Thoiry,01419,BENIER,Muriel,18/05/2020
Thoissey,01420,TURREL,Anne,18/05/2020
Torcieu,01421,BARBARIN,Estelle,18/05/2020
Tossiat,01422,DAVI,Jean-Marie,18/05/2020
Toussieux,01423,CHAUMONT,Armand,18/05/2020
Tramoyes,01424,DELOCHE,Xavier,18/05/2020
La Tranclière,01425,ROUSSET,Daniel,18/05/2020
Val-Revermont,01426,WIEL,Monique,18/05/2020
Trévoux,01427,PÉCHOUX,Marc,18/05/2020
Valeins,01428,BARDON,Frédéric,18/05/2020
Vandeins,01429,BERARDAN,Christelle,18/05/2020
Varambon,01430,GABASIO,Dominique,18/05/2020
Vaux-En-Bugey,01431,VEYSSET RABILLOUD,Françoise,18/05/2020
Verjon,01432,JAMME,Philippe,18/05/2020
Vernoux,01433,RAVASSARD,Philippe,18/05/2020
Versailleux,01434,BRANCHY,Gérard,18/05/2020
Versonnex,01435,DUBOUT,Jacques,18/05/2020
Vesancy,01436,MUGNIER,Bernard,18/05/2020
Vescours,01437,FLAMAND,Isabelle,18/05/2020
Vésines,01439,JULLIN,Gilbert,18/05/2020
Vieu-D'Izenave,01441,DELAGNEAU,Dominique,18/05/2020
Villars-Les-Dombes,01443,LARRIEU,Pierre,18/05/2020
Villebois,01444,CHARMET,Emilie,18/05/2020
Villemotier,01445,GUILLET,Pierre,18/05/2020
Villeneuve,01446,POMMIER,David,18/05/2020
Villereversure,01447,GIRERD,Jordan,18/05/2020
Villes,01448,SUSINI,Guy,18/05/2020
Villette-Sur-Ain,01449,HUMBERT,Jean-Pierre,18/05/2020
Villieu-Loyes-Mollon,01450,BEAUFORT,Eric,18/05/2020
Viriat,01451,PERRET,Bernard,18/05/2020
Virieu-Le-Grand,01452,VALLIN,Yvette,12/09/2021
Arviere-En-Valromey,01453,MEURIAU,Annie,18/05/2020
Virignin,01454,BAVUZ,Stéphanie,18/05/2020
Vongnes,01456,GUILLON,Pascale,18/05/2020
Vonnas,01457,GIVORD,Alain,18/05/2020
Abbécourt,02001,PÂRIS,René,18/05/2020
Achery,02002,LEGARD,Marc,18/05/2020
Acy,02003,BOURGEOIS,Guillaume,16/01/2022
Agnicourt-Et-Séchelles,02004,LETURQUE,Patrice,18/05/2020
Aguilcourt,02005,PREVOT,Gérard,18/05/2020
Aisonville-Et-Bernoville,02006,PARENT,Christian,18/05/2020
Aizelles,02007,MERLO,Jean-Marie,18/05/2020
Aizy-Jouy,02008,NECA,Amadéo,28/06/2020
Alaincourt,02009,ANTHONY,Stéphan,28/06/2020
Allemant,02010,HENNEVEUX,Marc,18/05/2020
Ambleny,02011,BOUVIER,Jean-Marie,18/05/2020
Ambrief,02012,BERTIN,Nicolas,18/05/2020
Amifontaine,02013,SERIN,Denis,18/05/2020
Amigny-Rouy,02014,DUHENOY,Joël,18/05/2020
Ancienville,02015,DESBOVES,Alain,18/05/2020
Andelain,02016,WENDLING MARLIERE,Julie,18/05/2020
Anguilcourt-Le-Sart,02017,LEMIRE,Bernard,18/05/2020
Anizy-Le-Grand,02018,CENTONZE SANDRAS,Ambroise,18/05/2020
Annois,02019,DEMAREST,Hugues,18/05/2020
Any-Martin-Rieux,02020,VAN DER SYPT,Carine,28/06/2020
Archon,02021,DUFOURG,Nicolas,18/05/2020
Arcy-Sainte-Restitue,02022,BOUREL,Patrick,28/06/2020
Armentières-Sur-Ourcq,02023,BOCQUET,Jean-Pierre,28/06/2020
Arrancy,02024,HARANT,Georges,18/05/2020
Artemps,02025,DUSANTER,Jean-Claude,18/05/2020
Assis-Sur-Serre,02027,LEGRAND,Justine,28/06/2020
Athies-Sous-Laon,02028,BRUN,Yves,18/05/2020
Attilly,02029,BELMERE,Sylvie,18/05/2020
Aubencheul-Aux-Bois,02030,PASSET,Francis,18/05/2020
Aubenton,02031,GREHANT,Bernard,18/05/2020
Aubigny-Aux-Kaisnes,02032,VAN HEESWYCK,Sylvain,18/05/2020
Aubigny-En-Laonnois,02033,RAVERDY,Thierry,18/05/2020
Audignicourt,02034,THÉRON,Christophe,18/05/2020
Audigny,02035,GUIARD,Franck,18/05/2020
Augy,02036,RUFFY,Didier,18/05/2020
Aulnois-Sous-Laon,02037,DUMAY,Denis,18/05/2020
Les Autels,02038,HALLE,Eric,28/06/2020
Autremencourt,02039,POTART,Dominique,18/05/2020
Autreppes,02040,BASSE,Paul,18/05/2020
Autreville,02041,BABILOTTE,Michel,18/05/2020
Azy-Sur-Marne,02042,GLEIZE,Séverine,18/05/2020
Bagneux,02043,DUBOIS,Jean-Marie,18/05/2020
Bancigny,02044,WOIMANT,Michel,18/05/2020
Barenton-Bugny,02046,BEVIERE,Eric,18/05/2020
Barenton-Cel,02047,PETIT,David,18/05/2020
Barenton-Sur-Serre,02048,LECUYER,Christian,18/05/2020
Barisis-Aux-Bois,02049,PERNAUT,Guy,18/05/2020
